fecha,producto,cantidad,precio
2025-01-15,Camiseta,8,20.0
2025-01-20,Pantalón,3,35.0
2025-01-25,Zapatos,2,50.0
2025-01-30,Gorra,5,15.0
2025-02-05,Chaqueta,4,80.0
2025-02-10,Calcetines,10,8.0
2025-02-15,Reloj,1,120.0
2025-02-20,Mochila,2,45.0
2025-02-25,Camiseta,6,20.0
2025-03-01,Pantalón,5,35.0
2025-03-05,Zapatos,4,50.0
2025-03-10,Gorra,7,15.0
2025-03-15,Chaqueta,3,80.0
2025-03-20,Calcetines,12,8.0
2025-03-25,Reloj,2,120.0
2025-04-01,Mochila,4,45.0
2025-04-05,Camiseta,9,20.0
2025-04-10,Pantalón,6,35.0
2025-04-15,Zapatos,3,50.0
2025-04-20,Gorra,8,15.0
2025-04-25,Chaqueta,2,80.0
2025-05-01,Calcetines,15,8.0
2025-05-05,Reloj,1,120.0
2025-05-10,Mochila,3,45.0
2025-05-15,Camiseta,11,20.0
2025-05-20,Pantalón,7,35.0
